{'timestamp': 1496595998.391889, 'hostname': 'large-w-l-4.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.37, running=2, procs=266), 'memory/total': Memory(label='total', total=12305232, used=611688, buffer_cache=155672, free=11537872, map=14828)}
{'timestamp': 1496595998.403855, 'hostname': 'large-w-l-1.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.25, load15=0.43, running=2, procs=271), 'memory/total': Memory(label='total', total=12305232, used=745372, buffer_cache=150380, free=11409480, map=15060)}
{'timestamp': 1496595998.40461, 'hostname': 'large-w-l-2.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.67, load15=0.92, running=2, procs=271), 'memory/total': Memory(label='total', total=12305232, used=746044, buffer_cache=164388, free=11394800, map=15372)}
{'timestamp': 1496595998.405509, 'hostname': 'large-w-l-3.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.34, running=2, procs=264), 'memory/total': Memory(label='total', total=12305232, used=620384, buffer_cache=324888, free=11359960, map=18088)}
{'timestamp': 1496595998.408505, 'hostname': 'large-w-l-0.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.36, running=2, procs=272), 'memory/total': Memory(label='total', total=12305232, used=875896, buffer_cache=195112, free=11234224, map=14896)}
{'timestamp': 1496595998.414257, 'hostname': 'large-w-l-5.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.31, load15=0.52, running=2, procs=267), 'memory/total': Memory(label='total', total=12305232, used=616420, buffer_cache=158496, free=11530316, map=15008)}
{'timestamp': 1496595998.439885, 'hostname': 'large-w-l-1.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.25, load15=0.43, running=1, procs=267), 'memory/total': Memory(label='total', total=12305232, used=743716, buffer_cache=150380, free=11411136, map=13524)}
{'timestamp': 1496595998.442372, 'hostname': 'large-w-l-3.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.34, running=2, procs=262), 'memory/total': Memory(label='total', total=12305232, used=621764, buffer_cache=324884, free=11358584, map=18036)}
{'timestamp': 1496595998.447183, 'hostname': 'large-w-l-4.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.37, running=1, procs=262), 'memory/total': Memory(label='total', total=12305232, used=610368, buffer_cache=155672, free=11539192, map=13880)}
{'timestamp': 1496595998.4605, 'hostname': 'large-w-l-0.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.36, running=1, procs=268), 'memory/total': Memory(label='total', total=12305232, used=873776, buffer_cache=195112, free=11236344, map=13436)}
{'timestamp': 1496595998.468552, 'hostname': 'large-w-l-2.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.67, load15=0.92, running=1, procs=267), 'memory/total': Memory(label='total', total=12305232, used=745508, buffer_cache=164388, free=11395336, map=13836)}
{'timestamp': 1496595998.482385, 'hostname': 'large-w-l-5.novalocal', 'proc': Proc(label='total', load5=0.0, load10=0.31, load15=0.52, running=1, procs=263), 'memory/total': Memory(label='total', total=12305232, used=616372, buffer_cache=158496, free=11530364, map=13840)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=45056, time_spent_write=0.023999999975785613), 'net/total': Network(label='eth0', recv_bytes=6174, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=8969, send_packets=41, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=45056, time_spent_write=0.023999999975785613), 'timestamp': 1496596003.396674, 'net/eth0': Network(label='eth0', recv_bytes=6174, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=8969, send_packets=41, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.1996007984031936, nice=0.0, system=0.0, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.4, nice=0.0, system=0.2, idle=99.4, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.1996007984031936, nice=0.0, system=0.0, idle=99.20159680638723, iowait=0.3992015968063872, irq=0.0, softirq=0.1996007984031936), 'cpu/total': CPU(label='total', user=0.16661112962345884, nice=0.0, system=0.06664445184938354, idle=99.66677774075308, iowait=0.06664445184938354, irq=0.0, softirq=0.03332222592469177), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.20040080160320642, nice=0.0, system=0.0, idle=99.79959919839679, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.37, running=2, procs=262), 'hostname': 'large-w-l-4.novalocal', 'memory/total': Memory(label='total', total=12305232, used=610672, buffer_cache=155696, free=11538864, map=13708)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=20, bytes_write=462848, time_spent_write=0.024000000208616257), 'net/total': Network(label='eth0', recv_bytes=375020, recv_packets=155, recv_errs=0, recv_drop=0, send_bytes=378634, send_packets=160, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=20, bytes_write=462848, time_spent_write=0.024000000208616257), 'timestamp': 1496596003.409699, 'net/eth0': Network(label='eth0', recv_bytes=375020, recv_packets=155, recv_errs=0, recv_drop=0, send_bytes=378634, send_packets=160, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.4, nice=0.0, system=0.2, idle=99.4, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.40119760479043, iowait=0.3992015968063872, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.09996667777407531, nice=0.0, system=0.09996667777407531, idle=99.73342219260246, iowait=0.06664445184938354, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.24, load15=0.43, running=2, procs=267), 'hostname': 'large-w-l-1.novalocal', 'memory/total': Memory(label='total', total=12305232, used=743184, buffer_cache=150776, free=11411272, map=13640)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=28672, time_spent_write=0.015999999828636646), 'net/total': Network(label='eth0', recv_bytes=7415, recv_packets=42, recv_errs=0, recv_drop=0, send_bytes=10093, send_packets=51, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=28672, time_spent_write=0.015999999828636646), 'timestamp': 1496596003.410239, 'net/eth0': Network(label='eth0', recv_bytes=7415, recv_packets=42, recv_errs=0, recv_drop=0, send_bytes=10093, send_packets=51, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.3992015968063872, nice=0.0, system=0.1996007984031936, idle=99.40119760479043, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.40080160320641284, nice=0.0, system=0.0, idle=99.19839679358718, iowait=0.40080160320641284, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.19986675549633579, nice=0.0, system=0.06662225183211193, idle=99.66688874083944, iowait=0.06662225183211193, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.66, load15=0.91, running=2, procs=267), 'hostname': 'large-w-l-2.novalocal', 'memory/total': Memory(label='total', total=12305232, used=745152, buffer_cache=164408, free=11395672, map=13940)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=49152, time_spent_write=0.01600000000325963), 'net/total': Network(label='eth0', recv_bytes=270411, recv_packets=97, recv_errs=0, recv_drop=0, send_bytes=272012, send_packets=95, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=49152, time_spent_write=0.01600000000325963), 'timestamp': 1496596003.411969, 'net/eth0': Network(label='eth0', recv_bytes=270411, recv_packets=97, recv_errs=0, recv_drop=0, send_bytes=272012, send_packets=95, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.4, nice=0.0, system=0.0, idle=99.6, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.09993337774816789, nice=0.0, system=0.13324450366422386, idle=99.7001998667555, iowait=0.06662225183211193, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.2, idle=99.4, iowait=0.4, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.1996007984031936, nice=0.0, system=0.1996007984031936, idle=99.60079840319361, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.34, running=1, procs=262), 'hostname': 'large-w-l-3.novalocal', 'memory/total': Memory(label='total', total=12305232, used=621360, buffer_cache=325164, free=11358708, map=18352)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=90112, time_spent_write=0.027999999932944775), 'net/total': Network(label='eth0', recv_bytes=373406, recv_packets=135, recv_errs=0, recv_drop=0, send_bytes=278504, send_packets=142, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=90112, time_spent_write=0.027999999932944775), 'timestamp': 1496596003.41289, 'net/eth0': Network(label='eth0', recv_bytes=373406, recv_packets=135, recv_errs=0, recv_drop=0, send_bytes=278504, send_packets=142, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.5988023952095808, nice=0.0, system=0.1996007984031936, idle=99.20159680638723, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.2, idle=99.8, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.2, idle=99.8, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.3992015968063872, nice=0.0, system=0.1996007984031936, idle=98.80239520958084, iowait=0.5988023952095808, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.23317788141239174, nice=0.0, system=0.09993337774816789, idle=99.56695536309127, iowait=0.06662225183211193, irq=0.0, softirq=0.033311125916055964), 'cpu/cpu5': CPU(label='cpu5', user=0.398406374501992, nice=0.0, system=0.0, idle=99.60159362549801, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.36, running=3, procs=269), 'hostname': 'large-w-l-0.novalocal', 'memory/total': Memory(label='total', total=12305232, used=873844, buffer_cache=195400, free=11235988, map=13296)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=200704, time_spent_write=0.027999999991152436), 'net/total': Network(label='eth0', recv_bytes=382994, recv_packets=131, recv_errs=0, recv_drop=0, send_bytes=117901, send_packets=139, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=3, bytes_write=200704, time_spent_write=0.027999999991152436), 'timestamp': 1496596003.420061, 'net/eth0': Network(label='eth0', recv_bytes=382994, recv_packets=131, recv_errs=0, recv_drop=0, send_bytes=117901, send_packets=139, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.796812749003984, nice=0.0, system=0.5976095617529881, idle=98.60557768924303, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.7984031936127745, nice=0.0, system=0.3992015968063872, idle=98.80239520958084, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=12.2, nice=0.0, system=1.2, idle=86.6, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=17.83567134268537, nice=0.0, system=1.002004008016032, idle=81.1623246492986, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=8.641975308641975, nice=0.0, system=0.7674341007674341, idle=90.5905905905906, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=10.978043912175648, nice=0.0, system=0.998003992015968, idle=88.02395209580838, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=9.6, nice=0.0, system=0.8, idle=89.4, iowait=0.2, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.08, load10=0.32, load15=0.53, running=3, procs=289), 'hostname': 'large-w-l-5.novalocal', 'memory/total': Memory(label='total', total=12305232, used=721232, buffer_cache=159112, free=11424888, map=25656)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=20, bytes_write=462848, time_spent_write=0.024000000208616257), 'net/total': Network(label='eth0', recv_bytes=373168, recv_packets=151, recv_errs=0, recv_drop=0, send_bytes=378122, send_packets=155, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=20, bytes_write=462848, time_spent_write=0.024000000208616257), 'timestamp': 1496596003.445716, 'net/eth0': Network(label='eth0', recv_bytes=373168, recv_packets=151, recv_errs=0, recv_drop=0, send_bytes=378122, send_packets=155, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.2, idle=99.8, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.0, idle=99.60079840319361, iowait=0.3992015968063872, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.06662225183211193, nice=0.0, system=0.06662225183211193, idle=99.80013324450367, iowait=0.06662225183211193, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.24, load15=0.43, running=2, procs=267), 'hostname': 'large-w-l-1.novalocal', 'memory/total': Memory(label='total', total=12305232, used=743184, buffer_cache=150776, free=11411272, map=13640)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=49152, time_spent_write=0.01600000000325963), 'net/total': Network(label='eth0', recv_bytes=268427, recv_packets=91, recv_errs=0, recv_drop=0, send_bytes=271433, send_packets=89, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=49152, time_spent_write=0.01600000000325963), 'timestamp': 1496596003.448262, 'net/eth0': Network(label='eth0', recv_bytes=268427, recv_packets=91, recv_errs=0, recv_drop=0, send_bytes=271433, send_packets=89, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.06660006660006661, nice=0.0, system=0.06660006660006661, idle=99.8001998001998, iowait=0.06660006660006661, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=99.6, iowait=0.4, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.2, nice=0.0, system=0.2, idle=99.6, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.34, running=2, procs=262), 'hostname': 'large-w-l-3.novalocal', 'memory/total': Memory(label='total', total=12305232, used=621360, buffer_cache=325164, free=11358708, map=18352)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=45056, time_spent_write=0.023999999975785613), 'net/total': Network(label='eth0', recv_bytes=4256, recv_packets=32, recv_errs=0, recv_drop=0, send_bytes=8454, send_packets=36, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=45056, time_spent_write=0.023999999975785613), 'timestamp': 1496596003.452962, 'net/eth0': Network(label='eth0', recv_bytes=4256, recv_packets=32, recv_errs=0, recv_drop=0, send_bytes=8454, send_packets=36, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.2, nice=0.0, system=0.2, idle=99.2, iowait=0.4, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.03332222592469177, nice=0.0, system=0.03332222592469177, idle=99.86671109630123, iowait=0.06664445184938354, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.21, load15=0.37, running=1, procs=262), 'hostname': 'large-w-l-4.novalocal', 'memory/total': Memory(label='total', total=12305232, used=610672, buffer_cache=155696, free=11538864, map=13708)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=90112, time_spent_write=0.027999999932944775), 'net/total': Network(label='eth0', recv_bytes=371488, recv_packets=130, recv_errs=0, recv_drop=0, send_bytes=277990, send_packets=137, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=6, bytes_write=90112, time_spent_write=0.027999999932944775), 'timestamp': 1496596003.466648, 'net/eth0': Network(label='eth0', recv_bytes=371488, recv_packets=130, recv_errs=0, recv_drop=0, send_bytes=277990, send_packets=137, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.1996007984031936, nice=0.0, system=0.0, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.3992015968063872, nice=0.0, system=0.1996007984031936, idle=98.80239520958084, iowait=0.5988023952095808, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.09986684420772303, nice=0.0, system=0.06657789613848203, idle=99.73368841544607, iowait=0.06657789613848203, irq=0.0, softirq=0.033288948069241014), 'cpu/cpu5': CPU(label='cpu5', user=0.1996007984031936, nice=0.0, system=0.0, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.22, load15=0.36, running=2, procs=269), 'hostname': 'large-w-l-0.novalocal', 'memory/total': Memory(label='total', total=12305232, used=873844, buffer_cache=195400, free=11235988, map=13296)}
{'disk/total': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=28672, time_spent_write=0.015999999828636646), 'net/total': Network(label='eth0', recv_bytes=5497, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=9580, send_packets=46, send_errs=0, send_drop=0), 'disk/vda': Disk(label='vda', io_read=0, bytes_read=0, time_spent_read=0.0, io_write=2, bytes_write=28672, time_spent_write=0.015999999828636646), 'timestamp': 1496596003.47455, 'net/eth0': Network(label='eth0', recv_bytes=5497, recv_packets=37, recv_errs=0, recv_drop=0, send_bytes=9580, send_packets=46, send_errs=0, send_drop=0), 'cpu/cpu3': CPU(label='cpu3', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu2': CPU(label='cpu2', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu1': CPU(label='cpu1', user=0.0, nice=0.0, system=0.1996007984031936, idle=99.8003992015968, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu0': CPU(label='cpu0', user=0.0, nice=0.0, system=0.0, idle=99.6, iowait=0.4, irq=0.0, softirq=0.0), 'cpu/total': CPU(label='total', user=0.033311125916055964, nice=0.0, system=0.033311125916055964, idle=99.86675549633577, iowait=0.06662225183211193, irq=0.0, softirq=0.0), 'cpu/cpu5': CPU(label='cpu5', user=0.0, nice=0.0, system=0.0, idle=100.0, iowait=0.0, irq=0.0, softirq=0.0), 'cpu/cpu4': CPU(label='cpu4', user=0.0, nice=0.0, system=0.2, idle=99.8, iowait=0.0, irq=0.0, softirq=0.0), 'proc': Proc(label='total', load5=0.0, load10=0.66, load15=0.91, running=1, procs=267), 'hostname': 'large-w-l-2.novalocal', 'memory/total': Memory(label='total', total=12305232, used=745152, buffer_cache=164408, free=11395672, map=13940)}
